MedicalTerm,Readcode
intervert_disc,"['7J20000', '7J20100', '7J20200', '7J20300', '7J20400', '7J20600', '7J20700', '7J20.00', '7J20800', '7J20y00', '7J20z00', '7J21000', '7J21100', '7J21200', '7J21300', '7J21400', '7J21600', '7J21700', '7J21.00', '7J21y00', '7J21z00', '7J23000', '7J23100', '7J23200', '7J23300', '7J23400', '7J23900', '7J23w00', '7J23x00', '7J24600', '7J24A00', '7J24B00', '7J24x00', '7J27000', '7J27200', '7J32000', '7J32100', '7J32111', '7J32200', '7J32211', '7J32300', '7J32400', '7J32500', '7J32600', '7J32700', '7J32.00', '7J32.11', '7J32.12', '7J32800', '7J32900', '7J32y00', '7J32z00', '7J33000', '7J33100', '7J33200', '7J33400', '7J33411', '7J33600', '7J33700', '7J33.00', '7J33.11', '7J33.12', '7J33y00', '7J33z00', '7J4H000', '7J4J000', '7J4K000', '7J4L000', '7J4M000', 'F163000', 'F337100', 'N120.00', 'N120.11', 'N120.12', 'N121.00', 'N121.11', 'N122.00', 'N122.11', 'N123.00', 'N123.11', 'N123.12', 'N124000', 'N124100', 'N124200', 'N124.00', 'N124z00', 'N125.00', 'N126.00', 'N127.00', 'N128.00', 'N129000', 'N129100', 'N129200', 'N129300', 'N129.00', 'N129.11', 'N129z00', 'N12B000', 'N12B100', 'N12B200', 'N12B.00', 'N12C000', 'N12C100', 'N12C200', 'N12C300', 'N12C400', 'N12C.00', 'N12..00', 'N12z000', 'N12z100', 'N12z200', 'N12z300', 'N12z500', 'N12z600', 'N12z700', 'N12z900', 'N12zB00', 'N12zD00', 'N12zE00', 'N12zF00', 'N12zH00', 'N12z.00', 'N12zz00', 'Nyu7000', 'Nyu7100', 'Nyu7200', 'Nyu7300', 'Nyu7400', 'Nyu7500', 'Nyu7600', 'Nyu7700', 'Nyu7B00', 'Zw04000', 'Zw04100', 'Zw04200']"
intracranial_htn,"['F282.00', 'F282.11']"
intrauterine_hypoxia,"['4H23.00', 'L263000', 'L263100', 'L263200', 'L263400', 'L263500', 'L263600', 'L263700', 'L263.00', 'L263.11', 'L263.14', 'L263z00', 'Lyu4800', 'Q212000', 'Q212100', 'Q212200', 'Q212.00', 'Q212.11', 'Q212z00', 'Q213000', 'Q213100', 'Q213200', 'Q213.00', 'Q213.11', 'Q213z00', 'Q214000', 'Q214100', 'Q214200', 'Q214.00', 'Q214.11', 'Q214z00', 'Q21..00', 'Q21..11', 'Q21..12', 'Q311000', 'Z264800', 'Z264900', 'Z264A00', 'Z264B00']"
juv_arth,"['N043000', 'N043100', 'N043200', 'N043300', 'N043.00', 'N043z00', 'N045000', 'N045100', 'N045200', 'N045300', 'N045400', 'N045500', 'N045600', 'N045.00', 'Nyu1500']"
keratitis,"['A173200', 'A173400', 'A532100', 'A544200', 'A544300', 'A55x000', 'A771.00', 'A776.00', 'A903.00', 'A984300', 'AD67000', 'F4A1.00', 'F4A2000', 'F4A2100', 'F4A2112', 'F4A2200', 'F4A2300', 'F4A2400', 'F4A2500', 'F4A2.00', 'F4A2z00', 'F4A3000', 'F4A3300', 'F4A3400', 'F4A3.00', 'F4A3z00', 'F4A4000', 'F4A4100', 'F4A4.00', 'F4A4z00', 'F4A5000', 'F4A5100', 'F4A5200', 'F4A5400', 'F4A5500', 'F4A5.00', 'F4A5z00', 'F4A..00', 'F4A..11', 'F4Ay.00', 'F4Az.00', 'FyuD100', 'FyuD200', 'FyuDA00']"
leiomyoma,"['7A54A00', '7E06111', '7E0DC00', 'B780.00', 'B781.00', 'B781.11', 'B782.00', 'B78..00', 'B78..11', 'B78z.00', 'BBK0000', 'BBK0011', 'BBK0300', 'BBK0500', 'BBK0600', 'BBK0.00', 'BBK0z00']"
leukaemia,"['1429.00', 'B624000', 'B624300', 'B624.00', 'B624.11', 'B624.12', 'B624z00', 'B640000', 'B640.00', 'B641000', 'B641011', 'B641100', 'B641200', 'B641300', 'B641.00', 'B641.11', 'B642.00', 'B64..00', 'B64..11', 'B64y100', 'B64y200', 'B64y300', 'B64y400', 'B64y500', 'B64y.00', 'B64yz00', 'B64z.00', 'B650.00', 'B651100', 'B651200', 'B651300', 'B651.00', 'B651.11', 'B651z00', 'B652.00', 'B653000', 'B653100', 'B653.00', 'B654.00', 'B65..00', 'B65y100', 'B65yz00', 'B65z.00', 'B660.00', 'B661.00', 'B662.00', 'B663.00', 'B66..00', 'B66..11', 'B66..12', 'B66y.00', 'B66yz00', 'B66z.00', 'B670.00', 'B670.11', 'B672.00', 'B672.11', 'B673.00', 'B674.00', 'B675.00', 'B677.00', 'B67..00', 'B67y000', 'B67y.00', 'B67yz00', 'B67z.00', 'B680.00', 'B681.00', 'B682.00', 'B68..00', 'B68y.00', 'B68z.00', 'B690.00', 'B691.00', 'B692.00', 'B693.00', 'B69..00', 'BBr0000', 'BBr0100', 'BBr0111', 'BBr0112', 'BBr0113', 'BBr0200', 'BBr0300', 'BBr0400', 'BBr0.00', 'BBr0z00', 'BBr2000', 'BBr2011', 'BBr2100', 'BBr2300', 'BBr2500', 'BBr2600', 'BBr2700', 'BBr2.00', 'BBr4000', 'BBr4.00', 'BBr4z00', 'BBr6000', 'BBr6011', 'BBr6100', 'BBr6200', 'BBr6300', 'BBr6311', 'BBr6600', 'BBr6700', 'BBr6800', 'BBr6900', 'BBr6.00', 'BBr6z00', 'BBr7000', 'BBr9000', 'BBrA100', 'BBrA111', 'BBrA400', 'BBrA500', 'BBrA.00', 'BBrAz00', 'BBr..00', 'BBrz.00', 'ByuD500', 'ByuD600', 'ByuD700', 'ByuD800', 'ByuD900', 'ZV10600', 'ZV10611', 'ZV10613', 'ZV67811']"
lichen_planus,"['M170000', 'M170100', 'M170200', 'M170300', 'M170400', 'M170500', 'M170700', 'M170800', 'M170900', 'M170.00', 'M170z00', 'M240R00', 'Myu3200']"
liver_alc,"['G852300', 'J610.00', 'J611.00', 'J612000', 'J612.00', 'J612.12', 'J613000', 'J613.00', 'J617000', 'J617.00']"
liver_fail,"['7L1f.00', '7L1fz00', 'A700.00', 'A702.00', 'A704000', 'A704.00', 'A704z00', 'J600000', 'J600011', 'J600200', 'J600.00', 'J600z00', 'J601000', 'J601200', 'J601.00', 'J601z00', 'J60..00', 'J60z.00', 'J613000', 'J622.00', 'J622.11', 'J625.00', 'J625.11', 'J62y.11', 'J62y.12', 'J62y.13', 'J634.00', 'J635100', 'J635700', 'J636.00', 'SP08600', 'SP14200', 'SP14211']"
macula_degen,"['2BBH.00', 'F424200', 'F424300', 'F424400', 'F425000', 'F425100', 'F425200', 'F425211', 'F425700', 'F425.00', 'F425.11', 'F425z00']"
male_infertility,"['4914.00', '4915.00', '4916.00', '4917.00', 'K260.00', 'K260.11', 'K261000', 'K261.00', 'K262.00', 'K26..00', 'K26y200', 'K26y300', 'K26y400', 'K26y.00', 'K26yz00', 'K26z.00', 'K5B1000', 'K5B1100', 'K5B6.00', 'K5By000', 'K5By100', 'K5Byz11']"
meniere,"['1491.11', 'F560000', 'F560100', 'F560200', 'F560300', 'F560400', 'F560.00', 'F560.11', 'F560.12', 'F560z00']"
menorrhagia,"['151G.00', '1572.00', '1573.00', '1573.11', 'K592000', 'K592011', 'K592012', 'K592100', 'K592111', 'K592.00', 'K592.11', 'K592.12', 'K592z00', 'K593.11', 'K5A0.00', 'K5A0.11', 'K5A6.00']"
migraine,"['1474000.0', '1474.00', '8B6N.00', 'F260.00', 'F260.11', 'F261000', 'F261.00', 'F261.11', 'F261z00', 'F262200', 'F262300', 'F262400', 'F262800', 'F262.00', 'F262z00', 'F26..00', 'F26y000', 'F26y100', 'F26y111', 'F26y200', 'F26y300', 'F26y.00', 'F26yz00', 'F26z.00', 'Fyu5300', 'K584.11']"
mult_valve,"['G130.00', 'G131.00', 'G131.13', 'G131.14', 'G132.00', 'G132.12', 'G132.13', 'G133.00', 'G133.11', 'G133.12', 'G13..00', 'G13y.00', 'G13z.00', 'G544000', 'G544100', 'G544200', 'G544.00', 'G544X00', 'Gyu5D00']"
myasthenia,"['F380100', 'F380.00', 'F380z00']"
myocardial_infarction,"['14A3.00', '14A4.00', '14AH.00', 'G310.00', 'G32..00', 'G32..11', 'G32..12', 'G33z500', 'G30..11', 'G30..14', 'G30..17', 'G30A.00', 'G30X000', 'G307100', '323..00', '3233', '3234', '3235', '3236', '323Z.00', '889A.00', 'G30..00', 'G30..12', 'G30..13', 'G30..15', 'G30..16', 'G300.00', 'G301.00', 'G301000', 'G301100', 'G301z00', 'G302.00', 'G303.00', 'G304.00', 'G305.00', 'G306.00', 'G307.00', 'G307000', 'G308.00', 'G309.00', 'G30B.00', 'G30X.00', 'G30y.00', 'G30y000', 'G30y100', 'G30y200', 'G30yz00', 'G30z.00', 'G31y100', 'G38..00', 'G380.00', 'G381.00', 'G384.00', 'G38z.00', 'Gyu3400', 'G35..00', 'G350.00', 'G351.00', 'G353.00', 'G35X.00', 'G310.11', 'G36..00', 'G360.00', 'G361.00', 'G362.00', 'G363.00', 'G364.00', 'G365.00', 'G366.00', 'G501.00']"
nasal_polyp,"['2D33.00', '7402900.0', '7402911.0', '7406000.0', '7406700.0', '7416F00', 'H110000', 'H110100', 'H110.00', 'H110z00', 'H111000', 'H111.00', 'H111z00', 'H11..00', 'H11y000', 'H11y100', 'H11y200', 'H11y211', 'H11y300', 'H11y.00', 'H11y.11', 'H11yz00', 'H11z.00', 'Hyu2300']"
neo_jaundice,"['Q430000', 'Q430.00', 'Q430z00', 'Q431000', 'Q431200', 'Q431300', 'Q431500', 'Q431.00', 'Q431z00', 'Q432.00', 'Q433000', 'Q433200', 'Q433300', 'Q433500', 'Q433600', 'Q433700', 'Q433800', 'Q433A00', 'Q433.00', 'Q433y00', 'Q433y11', 'Q433z00', 'Q434000', 'Q434100', 'Q434200', 'Q434.00', 'Q434z00', 'Q435000', 'Q435100', 'Q435.00', 'Q435z00', 'Q436000', 'Q436100', 'Q436200', 'Q436.00', 'Q436z00', 'Q437000', 'Q437.00', 'Q437z00', 'Q43..00', 'Q43z.00', 'Qyu5800', 'Qyu5900', 'Qyu5A00', 'Qyu5B00']"
neuro_bladder,"['F246111', 'F246112', 'F246113', 'K164000', 'K164100', 'K164.00', 'K164.11', 'K164z00', 'K165000', 'K165100', 'K165300', 'K165400', 'K165.00', 'K165z00', 'K16V000', 'K16V011', 'K16V100', 'K16V.00', 'K16W.00', 'K16X.00', 'K16y400', 'K16y411', 'K16y412', 'K16y800', 'K16y811', 'Kyu5200', 'Kyu5E00']"
nonRh_aortic,"['G541000', 'G541011', 'G541012', 'G541100', 'G541200', 'G541211', 'G541212', 'G541300', 'G541400', 'G541500', 'G541600', 'G541700', 'G541.00', 'G541z00', 'Gyu1100', 'Gyu5600', 'Gyu5A00']"
nonRh_mitral,"['G114.00', 'G11..00', 'G11z.00', 'G540000', 'G540100', 'G540200', 'G540300', 'G540.00', 'G540.12', 'G540.14', 'G540.15', 'G540.16', 'G540z00', 'Gyu1000', 'Gyu5500']"
obesity,"['1444.00', '212Q.00', '222A.00', '22A5.11', '22K5.00', '22K7.00', '66C1.00', '66C2.00', '66C4.00', '66C5.00', '66C6.00', '66C..00', '66CE.00', '66CZ.00', '7633.00', '7611400.0', '7611500.0', '7611600.0', '7613100.0', '7613111.0', '7613200.0', '7613300.0', '7613400.0', '7613500.0', '7613600.0', '7614100.0', '7615000.0', '7616000.0', '7616013.0', '7616015.0', '7616600.0', '7633000.0', '7633100.0', '7633200.0', '7642500.0', '761A500', '7633y00', '7633z00', '9OK1.00', '9OK2.00', '9OK3.00', '9OK4.00', '9OK5.00', '9OK6.00', '9OK7.00', '9OK8.00', '9OK..00', '9OK..11', '9OKA.00', '9OKZ.00', 'C380000', 'C380100', 'C380200', 'C380300', 'C380400', 'C380500', 'C380600', 'C380700', 'C380.00', 'C38..00', 'C38y000', 'C38y011', 'C38y.11', 'C38z000', 'C38z.00', 'Cyu7000', 'Cyu7.00', 'ZC2CM00', 'ZV45P00', 'ZV65319']"
obstr_reflux,"['K110.00', 'K111.00', 'K112.00', 'K113.00', 'K113.11', 'K11..00', 'K11X.00', 'K11z.00', 'K133000', 'K133100', 'K133.00', 'K133z00', 'K134000', 'K134.00', 'K134z00', 'K135.00', 'K137.00', 'K137.11', 'K196.00', 'K196.11', 'Kyu1100', 'Kyu1200', 'Kyu1300', 'Kyu1F00']"
ocd,"['E203000', 'E203100', 'E203.00', 'E203.11', 'E203z00', 'Eu42000', 'Eu42100', 'Eu42200', 'Eu42.00', 'Eu42.11', 'Eu42.12', 'Eu42y00', 'Eu42z00']"
oesoph_ulc,"['J101000', 'J101.00', 'J101100', 'J101112', 'J101113', 'J101114', 'J101115', 'J101200', 'J101300', 'J101400', 'J101500', 'J101600', 'J101y00', 'J101z00', 'J102000', 'J102.00', 'J102100', 'J102200', 'J102300', 'J102400', 'J102z00', 'J10y300']"
osteoporosis,"['14GB.00', '58EG.00', '58EM.00', '58EV.00', '66a..00', '9kj0.00', '9kj..00', '9Od0.00', '9Od2.00', '9Od3.00', '9Od4.00', '9Od5.00', '9Od6.00', '9Od7.00', '9Od8.00', '9Od9.00', '9Od..00', 'N330000', 'N330100', 'N330200', 'N330300', 'N330400', 'N330500', 'N330600', 'N330700', 'N330A00', 'N330B00', 'N330C00', 'N330D00', 'N330.00', 'N330z00', 'N331200', 'N331300', 'N331400', 'N331500', 'N331600', 'N331800', 'N331900', 'N331A00', 'N331B00', 'N331H00', 'N331J00', 'N331K00', 'N331L00', 'N331M00', 'N331M11', 'N331N00', 'N331N11', 'N374600', 'NyuB000', 'NyuB100', 'NyuB200', 'NyuB800']"
oth_anaemia,"['145..11', '1454.00', '4234.00', '4235.00', 'D00..11', 'D00..12', 'D00y100', 'D00z200', 'D012112', 'D012500', 'D013.00', 'D013z00', 'D014000', 'D014100', 'D014.00', 'D014z00', 'D01..00', 'D01..11', 'D01y000', 'D01y100', 'D01y.00', 'D01yy00', 'D01yz00', 'D01z000', 'D01z.00', 'D01z.11', 'D0...00', 'D0y..00', 'D0z..00', 'D210000', 'D210100', 'D210200', 'D210300', 'D210400', 'D210.00', 'D210z00', 'D211.00', 'D211.11', 'D212000', 'D212.00', 'D213.00', 'D214.00', 'D215000', 'D215.00', 'D21..00', 'D21y000', 'D21y011', 'D21y012', 'D21y200', 'D21y300', 'D21y.00', 'D21yy00', 'D21yz00', 'D21z.00', 'D21z.11', 'D21z.12', 'D21z.13', 'D2...00', 'D2y..00', 'D2z..00', 'Dyu0.00', 'Dyu2200', 'Dyu2400', 'Q455000', 'Q455.00', 'Q456.00', 'Qyu5C00']"
oth_haem_anaemia,"['1453.00', 'D100.00', 'D100.11', 'D100.12', 'D101.00', 'D101.11', 'D102000', 'D102100', 'D102200', 'D102.00', 'D103000', 'D103100', 'D103300', 'D103z00', 'D107000', 'D107100', 'D107111', 'D107200', 'D107300', 'D107400', 'D107500', 'D107600', 'D107700', 'D107.00', 'D107y00', 'D107z00', 'D10..00', 'D10y000', 'D10y.00', 'D10yz00', 'D10z.00', 'D110000', 'D110100', 'D110200', 'D110400', 'D110.00', 'D110.11', 'D110z00', 'D111000', 'D111100', 'D111300', 'D111400', 'D111500', 'D111.00', 'D111y00', 'D111z00', 'D112000', 'D112011', 'D112012', 'D112100', 'D112200', 'D112.00', 'D112z00', 'D112z11', 'D112z12', 'D112z13', 'D11..00', 'D11z000', 'D11z100', 'D11z.00', 'D1...00', 'D1y..00', 'D1z..00', 'Dyu1300', 'Dyu1500', 'Dyu1.00', 'Q430000', 'Q430.00', 'Q430z00']"
pancreatitis,"['14CG.00', '14CH.00', 'A723.00', 'A785100', 'D201612', 'J670000', 'J670100', 'J670200', 'J670300', 'J670400', 'J670500', 'J670600', 'J670700', 'J670800', 'J670900', 'J670.00', 'J670y00', 'J670z00', 'J670z11', 'J671000', 'J671100', 'J671.00', 'J672100', 'Jyu8400']"
pericardial_effusion,"['G50..11', 'G533.00', 'G534.00', 'G536000', 'G536.00']"
periph_neuro,"['A531300', 'A72x100', 'C106.12', 'C106.13', 'C108B00', 'C108B11', 'C108C00', 'C108J00', 'C108J11', 'C108J12', 'C109A00', 'C109A11', 'C109B00', 'C109B11', 'C109B12', 'C109H00', 'C109H11', 'C109H12', 'C10EB00', 'C10EC00', 'C10EC11', 'C10EC12', 'C10EJ00', 'C10FA00', 'C10FA11', 'C10FB00', 'C10FB11', 'C10FH00', 'C10FH11', 'C34y400', 'C373200', 'C373K13', 'E011100', 'F341000', 'F341100', 'F341.00', 'F341z00', 'F342000', 'F342100', 'F342200', 'F342300', 'F342400', 'F342.00', 'F342.11', 'F342z00', 'F343000', 'F343100', 'F343200', 'F343.00', 'F343z00', 'F344.00', 'F345000', 'F345.00', 'F346.00', 'F34..00', 'F34y.00', 'F34z.00', 'F350.00', 'F351.00', 'F352.00', 'F353.00', 'F353.11', 'F354.00', 'F354.11', 'F355.00', 'F356000', 'F356100', 'F356.00', 'F356z00', 'F357.00', 'F358.00', 'F35..00', 'F35x.00', 'F35y.00', 'F35z000', 'F35z.00', 'F35z.11', 'F360000', 'F360.00', 'F360z00', 'F361000', 'F361011', 'F361012', 'F361.00', 'F361z00', 'F362.00', 'F363.00', 'F364.00', 'F365.00', 'F366.00', 'F367.00', 'F368000', 'F368100', 'F368200', 'F368.00', 'F36..00', 'F36y.00', 'F36yz00', 'F36z.00', 'F370000', 'F370100', 'F370200', 'F370.00', 'F370z00', 'F371000', 'F371100', 'F371200', 'F371.00', 'F371z00', 'F372000', 'F372100', 'F372200', 'F372.00', 'F372.11', 'F372.12', 'F373.00', 'F374000', 'F374100', 'F374200', 'F374300', 'F374400', 'F374500', 'F374600', 'F374800', 'F374900', 'F374A00', 'F374.00', 'F374z00', 'F375.00', 'F376.00', 'F377.00', 'F378.00', 'F37..00', 'F37..11', 'F37X.00', 'F37y000', 'F37y100', 'F37y.00', 'F37z.00', 'F37z.11', 'F3y0.00', 'F3y..00', 'F3z..00', 'Fyu1300', 'Fyu6900', 'Fyu6A00', 'Fyu6B00', 'Fyu6C00', 'Fyu6D00', 'Fyu7000', 'Fyu7100', 'Fyu7200', 'Fyu7500', 'Fyu7800', 'Fyu7B00', 'Fyu7C00', 'Fyu7.00', 'M271100', 'M271700', 'N035.00', 'N035.12', 'N11y200', 'N134.14', 'SD72200']"
peripheral_arterial_disease,"['14F7.00', '14NB.00', '2G63.00', 'A3A0F00', 'C107.00', 'C107000', 'C107100', 'C107300', 'C107400', 'C107z00', 'C108G00', 'C109F00', 'C109F11', 'C109F12', 'C10EG00', 'C10FF00', 'G700.11', 'G702.00', 'G702z00', 'G73..00', 'G73..11', 'G73..12', 'G73..13', 'G731.00', 'G731000', 'G731z00', 'G732.00', 'G732000', 'G732100', 'G733.00', 'G73y.00', 'G73y000', 'G73y100', 'G73y200', 'G73y400', 'G73y500', 'G73y511', 'G73y600', 'G73y700', 'G73y800', 'G73yz00', 'G73z.00', 'G73z000', 'G73z011', 'G73zz00', 'G740.12', 'G742z00', 'Gyu7400', 'M271.12', 'M271000', 'M271300', 'M271400', 'R054200', 'R054300', 'R055000', 'R055011', 'G742400', 'G742500', 'G742600', 'G742700', 'G742900', 'G74y000', 'G74y100', 'G74y200', 'G74y300', '7A10000', '7A10100', '7A10200', '7A10300', '7A12.00', '7A12000', '7A12100', '7A12111', '7A12112', '7A12300', '7A12311', '7A12312', '7A12y00', '7A12z00', '7A19200', '7A41.00', '7A41000', '7A41100', '7A41200', '7A41211', '7A41300', '7A41311', '7A41400', '7A41600', '7A41900', '7A41B00', '7A41C00', '7A41F00', '7A41y00', '7A41z00', '7A42.00', '7A42.11', '7A42000', '7A42011', '7A42012', '7A42100', '7A42111', '7A42y00', '7A42z00', '7A43.00', '7A43.11', '7A43000', '7A43011', '7A43100', '7A43111', '7A43300', '7A44000', '7A44100', '7A44300', '7A44400', '7A44y00', '7A44z00', '7A47.00', '7A47.11', '7A47.13', '7A47.14', '7A47.15', '7A47.16', '7A47000', '7A47100', '7A47200', '7A47300', '7A47400', '7A47600', '7A47700', '7A47B00', '7A47C00', '7A47D00', '7A47y00', '7A47z00', '7A48.00', '7A48.11', '7A48.12', '7A48.14', '7A48.15', '7A48.16', '7A48000', '7A48100', '7A48200', '7A48300', '7A48400', '7A48500', '7A48600', '7A48700', '7A48800', '7A48A00', '7A48B00', '7A48C00', '7A48D00', '7A48E00', '7A48y00', '7A48z00', '7A49.00', '7A49.11', '7A49.13', '7A49.14', '7A49.15', '7A49000', '7A49100', '7A49200', '7A49300', '7A49400', '7A49500', '7A49600', '7A49700', '7A49800', '7A49900', '7A49y00', '7A49z00', '7A4A.00', '7A4A.11', '7A4A.13', '7A4A.14', '7A4A000', '7A4A100', '7A4A200', '7A4A211', '7A4A212', '7A4A300', '7A4A311', '7A4A700', '7A4A800', '7A4Ay00', '7A4B000', '7A4B100', '7A4B200', '7A4B300', '7A4B400', '7A4B500', '7A4B800', '7A4B900', '7A50.00', '7A50000', '7A50100', '7A50200', '7A50300']"
peritonitis,"['7618100.0', '761C100', '761J000', '7623100.0', '7627000.0', '7635200.0', '7648300.0', '773C600', '7812200.0', 'A140.00', 'A32y200', 'A98y500', 'J110200', 'J110300', 'J111200', 'J111211', 'J111300', 'J11y200', 'J11yy00', 'J120200', 'J120300', 'J121200', 'J121211', 'J121300', 'J12y200', 'J12y300', 'J12yy00', 'J130200', 'J130300', 'J131200', 'J13y200', 'J13y300', 'J140200', 'J140300', 'J141300', 'J14y200', 'J179.00', 'J200.00', 'J201.00', 'J201.11', 'J201.12', 'J203.00', 'J204.00', 'J20z100', 'J512000', 'J512100', 'J512200', 'J512300', 'J512400', 'J512500', 'J512600', 'J512700', 'J512800', 'J512.00', 'J512y00', 'J512z00', 'J550000', 'J550200', 'J550300', 'J550311', 'J550400', 'J550.00', 'J550z00', 'J551.00', 'J552000', 'J552100', 'J552200', 'J552300', 'J552400', 'J552500', 'J552600', 'J552700', 'J552800', 'J552900', 'J552A00', 'J552B00', 'J552.00', 'J552.11', 'J552z00', 'J553.00', 'J554.00', 'J555.00', 'J557.00', 'J558.00', 'J55..00', 'J55y000', 'J55y100', 'J55y300', 'J55y400', 'J55y500', 'J55y.00', 'J55yz00', 'J55z.00', 'J574A00', 'J57yB00', 'J654.00', 'J654z00', 'J663.00', 'Jyu6000']"
pilonidal,"['773B000', '773B100', '773B200', '773B300', '773B400', '773B500', '773B.00', '773B700', '773B800', '773B900', '773BA00', '773Bx00', '773By00', '773Bz00', 'M060.00', 'M061.00', 'M062.00', 'M063.00', 'M06..00', 'M06z.00']"
plasmacell,"['B630000', 'B630100', 'B630200', 'B630300', 'B630400', 'B630.00', 'B630.11', 'B630.12', 'B631.00', 'B63..00', 'B63z.00', 'B936.11', 'B936.12', 'BBm6.00', 'BBmE.00', 'BBmK.00', 'BBn0.00', 'BBn0.11', 'BBn0.12', 'BBn0.13', 'BBn0.14', 'BBn2.00', 'BBn2.11', 'BBn2.12', 'BBn3.00', 'BBn..00', 'BBnz.00', 'BBr3.00', 'BBr3z00', 'C333000', 'C333011', 'C333100', 'C333200', 'C333300', 'C333.00', 'C333z00']"
pleural_effusion,"['H511000', 'H511100', 'H511200', 'H511.00', 'H511z00', 'H51y400', 'H51y500', 'H51y700', 'H51y.00', 'H51yz00', 'H51z000', 'H51z100', 'H51z200', 'H51z.00', 'H51zz00', 'Hyu7000']"
pleural_plaque,"['H410.00', 'H410.11', 'H510100', 'H510C00']"
pneumothorax,"['14B5.00', 'H520.00', 'H52..00', 'H52y000', 'H52y100', 'H52y.00', 'H52yz00', 'H52yz11', 'H52z.00', 'Hyu7100', 'Hyu7200']"
portal_htn,['J623.00']
post_term,"['6355.00', '635..12', 'Q122.00']"
post_uveitis,"['A173000', 'A900.12', 'A915100', 'A94y200', 'AD02.00', 'F401000', 'F401100', 'F430000', 'F430100', 'F430200', 'F430300', 'F430400', 'F430500', 'F430600', 'F430700', 'F430800', 'F430.00', 'F430.11', 'F430z00', 'F431000', 'F431300', 'F431400', 'F431500', 'F431600', 'F431.00', 'F431z00', 'F432000', 'F432100', 'F432200', 'F432400', 'F432.00', 'F432z00', 'F442300', 'FyuF000']"
prematurity,"['1546.00', '6351.00', '6352.00', '6353.00', '635..13', '6356.00', '6357.00', '635A.00', '635B.00', '635C.00', '635C.11', 'Q110.00', 'Q110.11', 'Q111.00', 'Q112.00', 'Q112.11', 'Q116.00', 'Q11..11', 'Q11z.00', 'Q317100', 'Q432.00', 'Q456.00', 'Qyu1100']"
pri_biliary,"['B151000', 'B151200', 'B151400', 'B151.00', 'B151z00', 'B161000', 'B161100', 'B161200', 'B161211', 'B161300', 'B161.00', 'B161z00', 'B162.00', 'B163.00', 'BB5D100', 'BB5D111', 'BB5D300', 'BB5D700', 'BB5D711']"
pri_bladder,"['B490.00', 'B491.00', 'B492.00', 'B493.00', 'B494.00', 'B495.00', 'B496.00', 'B497.00', 'B498.00', 'B49..00', 'B49y000', 'B49y.00', 'B49z.00', 'ZV10511']"
pri_bone,"['B300000', 'B300100', 'B300200', 'B300300', 'B300400', 'B300500', 'B300600', 'B300700', 'B300800', 'B300900', 'B300A00', 'B300.00', 'B300B00', 'B300C00', 'B300z00', 'B301.00', 'B302000', 'B302100', 'B302200', 'B302.00', 'B302z00', 'B303000', 'B303100', 'B303200', 'B303300', 'B303400', 'B303500', 'B303.00', 'B303z00', 'B304000', 'B304100', 'B304200', 'B304300', 'B304400', 'B304.00', 'B304z00', 'B305000', 'B305100', 'B305A00', 'B305.00', 'B305.11', 'B305.12', 'B305C00', 'B305D00', 'B305z00', 'B306000', 'B306100', 'B306200', 'B306300', 'B306400', 'B306500', 'B306.00', 'B306z00', 'B307000', 'B307100', 'B307200', 'B307.00', 'B307z00', 'B308100', 'B308200', 'B308300', 'B308800', 'B308.00', 'B308B00', 'B308D00', 'B308z00', 'B30..00', 'B30W.00', 'B30X.00', 'B30z000', 'B30z.00', 'BBV1.00', 'BBV1.11', 'BBV1.12', 'BBV1.13', 'BBV2.00', 'BBV3.00', 'BBV4.00', 'BBV5.00', 'BBV9.00', 'BBVA.00', 'BBV..11', 'BBV..12', 'BBV..13', 'BBW4.00', 'BBW4.11', 'BBW6.00', 'BBW8.00', 'BBW9.00', 'BBX1.00', 'BBX1.11', 'BBX1.12', 'BBY0.00', 'BBY0.11', 'BBY1.00', 'BBY1.11', 'BBZ2.00', 'BBZ2.11', 'BBZC.00', 'BBZG.00', 'BBZG.11', 'BBZN.00', 'BBZN.11', 'Byu3100', 'Byu3200', 'Byu3300', 'Byu3.00', 'ZV10y11']"
pri_bowel,"['B130.00', 'B131.00', 'B132.00', 'B133.00', 'B134.00', 'B134.11', 'B135.00', 'B136.00', 'B137.00', 'B138.00', 'B139.00', 'B13..00', 'B13y.00', 'B13z.00', 'B13z.11', 'B140.00', 'B141.00', 'B141.11', 'B141.12', 'B142000', 'B142.00', 'B142.11', 'B143.00', 'B14..00', 'B14y.00', 'B14z.00', 'B1z0.11', 'ZV10011', 'ZV10014', 'ZV10017']"
