MedicalTerm,Readcode
PE,"['14AC.00', '7A09300', '7A09311', '7A0A100', '7A0B000', 'G401000', 'G401100', 'G401.00', 'G401.12', 'ZV12900']"
PMB,"['1583.00', 'K59B.00', 'K5A1.00']"
PMR,"['N200.00', 'N20..00', 'N20..11']"
PSA,"['M160000', 'M160100', 'M160200', 'M160.00', 'M160.11', 'M160z00', 'Nyu1300']"
PTH,"['C120000', 'C120100', 'C120111', 'C120112', 'C120200', 'C120.00', 'C120.11', 'C120.12', 'C1z3100', 'Cyu4100', 'K08y100', 'N332500']"
Parkinsons,"['147F.00', 'Eu02300', 'F11x900', 'F120.00', 'F12..00', 'F12z.00']"
RBBB,"['3299.00', 'G564.00', 'G566200', 'G56y400', 'Gyu5W00']"
RDN,"['Q30..00', 'Q30..11', 'Q30..12', 'Q316.00', 'Q316.11', 'Q31y200', 'Qyu3000']"
RhA,"['14G1.00', '2G25.00', '2G25.11', '2G27.00', '66H..13', '7P20300', '9mM0.00', '9mM1.00', '9mM2.00', '9mM3.00', '9mM4.00', '9mM..00', 'F371200', 'F396400', 'G5y8.00', 'G5yA.00', 'H570.00', 'N362200', 'N040000', 'N040100', 'N040200', 'N040300', 'N040400', 'N040500', 'N040600', 'N040700', 'N040800', 'N040900', 'N040A00', 'N040B00', 'N040C00', 'N040D00', 'N040E00', 'N040F00', 'N040G00', 'N040H00', 'N040J00', 'N040K00', 'N040L00', 'N040M00', 'N040.00', 'N040N00', 'N040P00', 'N040Q00', 'N040R00', 'N040S00', 'N040T00', 'N041.00', 'N042100', 'N042200', 'N042.00', 'N042z00', 'N047.00', 'N04..00', 'N04X.00', 'N04y000', 'N04y011', 'N04y012', 'N04y200', 'N005.00', 'Nyu1000', 'Nyu1100', 'Nyu1200', 'Nyu1G00']"
Rh_valve,"['G110.00', 'G110.11', 'G111.00', 'G111.11', 'G111.12', 'G112.00', 'G112.12', 'G112.13', 'G11..11', 'G120.00', 'G121.00', 'G121.11', 'G121.12', 'G122.00', 'G12..00', 'G12z.00', 'G140000', 'G140100', 'G140111', 'G140112', 'G140200', 'G14021X', 'G14021Y', 'G140z00', 'G141000', 'G141100', 'G141200', 'G141.00', 'G141z00', 'G14z.11', 'Gyu1100']"
SLE,"['F371000', 'F396100', 'F4D3300', 'H57y400', 'K01x400', 'K01x411', 'K0B4000', 'M154000', 'M154100', 'M154200', 'M154300', 'M154400', 'M154500', 'M154600', 'M154700', 'M154.00', 'M154z00', 'Myu7800', 'N000000', 'N000100', 'N000200', 'N000300', 'N000400', 'N000600', 'N000.00', 'N000z00', 'Nyu4300', 'ZRq8.00', 'ZRq8.11', 'ZRq9.00', 'ZRq9.11']"
SVT,"['14AQ.00', '3274.00', 'G570000', 'G570100', 'G570200', 'G570300', 'G570.00', 'G570z00', 'G57y900']"
Stroke_NOS,"['14A7.00', '14A7.11', '14A7.12', '14AK.00', '1M4..00', '661M700', '661N700', '662e.00', '662e.11', '662M100', '662M200', '662M.00', '7P24200', '8HHM.00', '8IEC.00', '9h21.00', '9h22.00', '9h2..00', 'Fyu5600', 'G663.00', 'G664.00', 'G665.00', 'G666.00', 'G667.00', 'G668.00', 'G66..00', 'G66..11', 'G66..12', 'G66..13', 'G68X.00', 'Gyu6C00', 'L440.11', 'L440.12', 'ZV12511', 'ZV12512']"
Subarach,"['G600.00', 'G601.00', 'G602.00', 'G603.00', 'G604.00', 'G605.00', 'G606.00', 'G60..00', 'G60X.00', 'G60z.00', 'G680.00', 'Gyu6000', 'Gyu6100', 'Gyu6E00']"
