Readcode,MedicalCondition
G61X100,CPRD_Intracereb_haem
G61X.00,CPRD_Intracereb_haem
G61z.00,CPRD_Intracereb_haem
G681.00,CPRD_Intracereb_haem
G682.00,CPRD_Intracereb_haem
Gyu6200,CPRD_Intracereb_haem
Gyu6F00,CPRD_Intracereb_haem
G63..11,CPRD_Isch_stroke
G63y000,CPRD_Isch_stroke
G63y100,CPRD_Isch_stroke
G640000,CPRD_Isch_stroke
G640.00,CPRD_Isch_stroke
G641000,CPRD_Isch_stroke
G641.00,CPRD_Isch_stroke
G641.11,CPRD_Isch_stroke
G64..00,CPRD_Isch_stroke
G64..11,CPRD_Isch_stroke
G64..12,CPRD_Isch_stroke
G64..13,CPRD_Isch_stroke
G64z000,CPRD_Isch_stroke
G64z100,CPRD_Isch_stroke
G64z111,CPRD_Isch_stroke
G64z200,CPRD_Isch_stroke
G64z300,CPRD_Isch_stroke
G64z400,CPRD_Isch_stroke
G64z.00,CPRD_Isch_stroke
G64z.11,CPRD_Isch_stroke
G64z.12,CPRD_Isch_stroke
G683.00,CPRD_Isch_stroke
G6W..00,CPRD_Isch_stroke
G6X..00,CPRD_Isch_stroke
Gyu6300,CPRD_Isch_stroke
Gyu6400,CPRD_Isch_stroke
Gyu6G00,CPRD_Isch_stroke
329A.00,CPRD_LBBB
G562.11,CPRD_LBBB
G563.00,CPRD_LBBB
L265000,CPRD_LBW
L265100,CPRD_LBW
L265200,CPRD_LBW
L265.00,CPRD_LBW
L265z00,CPRD_LBW
Q10..00,CPRD_LBW
Q100.00,CPRD_LBW
Q100.11,CPRD_LBW
Q101.00,CPRD_LBW
Q101.11,CPRD_LBW
Q10z.00,CPRD_LBW
Q10z.11,CPRD_LBW
Q11..00,CPRD_LBW
Q110.00,CPRD_LBW
Q111.00,CPRD_LBW
Q113.00,CPRD_LBW
Q114.00,CPRD_LBW
Q114000,CPRD_LBW
Q115.00,CPRD_LBW
Q115000,CPRD_LBW
Q13..00,CPRD_LBW
Qyu1000,CPRD_LBW
7Q09700,CPRD_MDS
B937000,CPRD_MDS
B937100,CPRD_MDS
B937200,CPRD_MDS
B937300,CPRD_MDS
B937600,CPRD_MDS
B937700,CPRD_MDS
B937800,CPRD_MDS
B937900,CPRD_MDS
B937911,CPRD_MDS
B937.14,CPRD_MDS
B937W00,CPRD_MDS
B937W11,CPRD_MDS
B937X00,CPRD_MDS
BBmA.00,CPRD_MDS
BBmB.00,CPRD_MDS
BBmL.00,CPRD_MDS
BBv..00,CPRD_MDS
ByuHD00,CPRD_MDS
D213.00,CPRD_MDS
BBm7.00,CPRD_MGUS
C331000,CPRD_MGUS
C331.00,CPRD_MGUS
C331.11,CPRD_MGUS
C332200,CPRD_MGUS
C332.00,CPRD_MGUS
C332z00,CPRD_MGUS
7Q04100,CPRD_MND
F152000,CPRD_MND
F152100,CPRD_MND
F152111,CPRD_MND
F152200,CPRD_MND
F152300,CPRD_MND
F152400,CPRD_MND
F152.00,CPRD_MND
F152z00,CPRD_MND
F15..00,CPRD_MND
F15y.00,CPRD_MND
F15z.00,CPRD_MND
666A.00,CPRD_MS
666B.00,CPRD_MS
8Cc0.00,CPRD_MS
8Cc1.00,CPRD_MS
8Cc2.00,CPRD_MS
8Cc4.00,CPRD_MS
8CS1.00,CPRD_MS
8IAb.00,CPRD_MS
9kG..00,CPRD_MS
9mD0.00,CPRD_MS
9mD1.00,CPRD_MS
9mD..00,CPRD_MS
F200.00,CPRD_MS
F201.00,CPRD_MS
F202.00,CPRD_MS
F203.00,CPRD_MS
F204.00,CPRD_MS
F206.00,CPRD_MS
F207.00,CPRD_MS
F208.00,CPRD_MS
F20..00,CPRD_MS
F20..11,CPRD_MS
F20z.00,CPRD_MS
A789600,CPRD_NHL
A789700,CPRD_NHL
AyuC600,CPRD_NHL
B600000,CPRD_NHL
B600100,CPRD_NHL
B600300,CPRD_NHL
B600700,CPRD_NHL
B600.00,CPRD_NHL
B600z00,CPRD_NHL
B601000,CPRD_NHL
B601100,CPRD_NHL
B601200,CPRD_NHL
B601300,CPRD_NHL
B601500,CPRD_NHL
B601700,CPRD_NHL
B601800,CPRD_NHL
B601.00,CPRD_NHL
B601z00,CPRD_NHL
B602100,CPRD_NHL
B602200,CPRD_NHL
B602300,CPRD_NHL
B602500,CPRD_NHL
B602.00,CPRD_NHL
B602z00,CPRD_NHL
B60..00,CPRD_NHL
B60y.00,CPRD_NHL
B60z.00,CPRD_NHL
B620000,CPRD_NHL
B620100,CPRD_NHL
B620200,CPRD_NHL
B620300,CPRD_NHL
B620500,CPRD_NHL
B620800,CPRD_NHL
B620.00,CPRD_NHL
B620z00,CPRD_NHL
B621000,CPRD_NHL
B621300,CPRD_NHL
B621400,CPRD_NHL
B621500,CPRD_NHL
B621800,CPRD_NHL
B621.00,CPRD_NHL
B621z00,CPRD_NHL
B622.00,CPRD_NHL
B622z00,CPRD_NHL
B627000,CPRD_NHL
B627100,CPRD_NHL
B627200,CPRD_NHL
B627300,CPRD_NHL
B627400,CPRD_NHL
B627500,CPRD_NHL
B627600,CPRD_NHL
B627700,CPRD_NHL
B627800,CPRD_NHL
B627900,CPRD_NHL
B627911,CPRD_NHL
B627A00,CPRD_NHL
B627.00,CPRD_NHL
B627.11,CPRD_NHL
B627B00,CPRD_NHL
B627C00,CPRD_NHL
B627C11,CPRD_NHL
B627D00,CPRD_NHL
B627E00,CPRD_NHL
B627F00,CPRD_NHL
B627G00,CPRD_NHL
B627W00,CPRD_NHL
B627X00,CPRD_NHL
B628000,CPRD_NHL
B628100,CPRD_NHL
B628200,CPRD_NHL
B628300,CPRD_NHL
B628400,CPRD_NHL
B628500,CPRD_NHL
B628600,CPRD_NHL
B628700,CPRD_NHL
B628.00,CPRD_NHL
B62E100,CPRD_NHL
B62E200,CPRD_NHL
B62E300,CPRD_NHL
B62E400,CPRD_NHL
B62E500,CPRD_NHL
B62E600,CPRD_NHL
B62E700,CPRD_NHL
B62E800,CPRD_NHL
B62E900,CPRD_NHL
B62EA00,CPRD_NHL
B62E.00,CPRD_NHL
B62Ew00,CPRD_NHL
B62F000,CPRD_NHL
B62F100,CPRD_NHL
B62F200,CPRD_NHL
B62F.00,CPRD_NHL
B62F.11,CPRD_NHL
B62x000,CPRD_NHL
B62x100,CPRD_NHL
B62x200,CPRD_NHL
B62x400,CPRD_NHL
B62x500,CPRD_NHL
B62x.00,CPRD_NHL
B62xX00,CPRD_NHL
B62y000,CPRD_NHL
B62y100,CPRD_NHL
B62y200,CPRD_NHL
B62y300,CPRD_NHL
B62y400,CPRD_NHL
B62y500,CPRD_NHL
B62y600,CPRD_NHL
B62y700,CPRD_NHL
B62y800,CPRD_NHL
B62y.00,CPRD_NHL
B62yz00,CPRD_NHL
BBg1000,CPRD_NHL
BBg1.00,CPRD_NHL
BBg1.11,CPRD_NHL
BBg2.00,CPRD_NHL
BBg2.11,CPRD_NHL
BBg3.00,CPRD_NHL
BBg4.00,CPRD_NHL
BBg5.00,CPRD_NHL
BBg6.00,CPRD_NHL
BBg7.00,CPRD_NHL
BBg8.00,CPRD_NHL
BBgA.00,CPRD_NHL
BBgB.00,CPRD_NHL
BBg..00,CPRD_NHL
BBgC.00,CPRD_NHL
BBgC.11,CPRD_NHL
BBgC.12,CPRD_NHL
BBgD.00,CPRD_NHL
BBgE.00,CPRD_NHL
BBgG.00,CPRD_NHL
BBgG.11,CPRD_NHL
BBgG.12,CPRD_NHL
BBgG.13,CPRD_NHL
BBgH.00,CPRD_NHL
BBgJ.00,CPRD_NHL
BBgK.00,CPRD_NHL
BBgL.00,CPRD_NHL
BBgM.00,CPRD_NHL
BBgN.00,CPRD_NHL
BBgP.00,CPRD_NHL
BBgQ.00,CPRD_NHL
BBgR.00,CPRD_NHL
BBgS.00,CPRD_NHL
BBgT.00,CPRD_NHL
BBgV.00,CPRD_NHL
BBgz.00,CPRD_NHL
BBh0.00,CPRD_NHL
BBh2.00,CPRD_NHL
BBh..00,CPRD_NHL
BBk0.00,CPRD_NHL
BBk0.11,CPRD_NHL
BBk0.12,CPRD_NHL
BBk0.13,CPRD_NHL
BBk2.00,CPRD_NHL
BBk3.00,CPRD_NHL
BBk5.00,CPRD_NHL
BBk7.00,CPRD_NHL
BBk8.00,CPRD_NHL
BBk..00,CPRD_NHL
BBkz.00,CPRD_NHL
BBl0.00,CPRD_NHL
BBl1.00,CPRD_NHL
BBl..00,CPRD_NHL
BBlz.00,CPRD_NHL
BBm0.00,CPRD_NHL
BBm1.11,CPRD_NHL
BBm5.00,CPRD_NHL
BBm8.00,CPRD_NHL
BBm9.00,CPRD_NHL
BBmD.00,CPRD_NHL
BBmF.00,CPRD_NHL
BBmH.00,CPRD_NHL
BBmJ.00,CPRD_NHL
BBv0.00,CPRD_NHL
BBv2.00,CPRD_NHL
ByuD100,CPRD_NHL
ByuD200,CPRD_NHL
ByuD300,CPRD_NHL
ByuDC00,CPRD_NHL
ByuDD00,CPRD_NHL
ByuDE00,CPRD_NHL
ByuDF00,CPRD_NHL
ByuDF11,CPRD_NHL
M162800,CPRD_NHL
14G2.00,CPRD_OA
2G26.00,CPRD_OA
7P20400,CPRD_OA
N050000,CPRD_OA
N050100,CPRD_OA
N050111,CPRD_OA
N050112,CPRD_OA
N050200,CPRD_OA
N050300,CPRD_OA
N050400,CPRD_OA
N050500,CPRD_OA
N050600,CPRD_OA
N050700,CPRD_OA
N050.00,CPRD_OA
N050z00,CPRD_OA
N051000,CPRD_OA
N051100,CPRD_OA
N051200,CPRD_OA
N051300,CPRD_OA
N051400,CPRD_OA
N051500,CPRD_OA
N051600,CPRD_OA
N051700,CPRD_OA
N051800,CPRD_OA
N051900,CPRD_OA
N051A00,CPRD_OA
N051B00,CPRD_OA
N051C00,CPRD_OA
N051D00,CPRD_OA
N051E00,CPRD_OA
N051F00,CPRD_OA
N051G00,CPRD_OA
N051.00,CPRD_OA
N051z00,CPRD_OA
N052000,CPRD_OA
N052100,CPRD_OA
N052200,CPRD_OA
N052300,CPRD_OA
N052400,CPRD_OA
N052500,CPRD_OA
N052511,CPRD_OA
N052600,CPRD_OA
